epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.8973,1.60328,3.5278,1.57521,0.58295,0.03111,0.19089,0.10192,1.32094,3.34016,1.29139,0.000466993,0.000466993,0.000466993
2,80.1681,1.54345,2.83282,1.56768,0.3716,0.4055,0.35847,0.18497,1.55162,2.67347,1.44851,0.000912197,0.000912197,0.000912197
3,118.654,1.65311,2.78744,1.61793,0.27441,0.65774,0.4927,0.24551,1.70222,2.41377,1.56917,0.00132596,0.00132596,0.00132596
4,148.048,1.63548,2.62697,1.59886,0.32974,0.41815,0.28026,0.11044,1.79106,2.97692,1.80503,0.00128753,0.00128753,0.00128753
5,177.51,1.68686,2.71605,1.62103,0.8173,0.33333,0.35474,0.16498,1.81784,3.44267,1.9385,0.00124037,0.00124037,0.00124037
6,206.492,1.63359,2.48267,1.62391,0.14592,0.55299,0.1675,0.07945,1.69376,3.4728,1.82651,0.00119322,0.00119322,0.00119322
7,235.43,1.55396,2.44277,1.56502,0.84251,0.32292,0.47591,0.2601,1.56892,2.48739,1.59844,0.00114606,0.00114606,0.00114606
8,268.963,1.5962,2.35061,1.59533,0.7486,0.34375,0.45607,0.28457,1.60595,2.52062,1.63174,0.0010989,0.0010989,0.0010989
9,308.482,1.59759,2.45774,1.59096,0.90171,0.30208,0.51937,0.24767,1.74637,2.23654,1.63424,0.00105174,0.00105174,0.00105174
10,349.676,1.61763,2.34623,1.61408,0.59731,0.62202,0.685,0.35925,1.53749,2.20978,1.54121,0.00100459,0.00100459,0.00100459
11,389.646,1.49907,2.11585,1.55323,0.46768,0.58223,0.7181,0.35652,1.5729,2.10434,1.51039,0.00095743,0.00095743,0.00095743
12,429.256,1.5597,2.08977,1.55539,0.6781,0.57061,0.64626,0.38166,1.55051,2.05191,1.56574,0.000910273,0.000910273,0.000910273
13,703.149,1.51186,2.13413,1.55278,0.59692,0.61329,0.69686,0.37613,1.5242,2.36573,1.57826,0.000863116,0.000863116,0.000863116
14,728.869,1.45335,2.09686,1.46117,0.86803,0.65774,0.80202,0.42158,1.47066,2.71945,1.53543,0.000815959,0.000815959,0.000815959
15,755.68,1.45733,2.06686,1.48451,0.89659,0.6156,0.76813,0.46358,1.44911,1.82511,1.44915,0.000768802,0.000768802,0.000768802
16,783.831,1.43038,1.9626,1.49193,0.74323,0.68033,0.69191,0.37767,1.45503,1.83832,1.44904,0.000721645,0.000721645,0.000721645
17,812.635,1.38464,1.89185,1.42732,0.71274,0.66027,0.71977,0.41211,1.42991,1.82182,1.46553,0.000674488,0.000674488,0.000674488
18,841.664,1.40482,1.89916,1.47466,0.72804,0.78818,0.69708,0.33821,1.40407,1.74986,1.43357,0.000627331,0.000627331,0.000627331
19,870.231,1.44374,1.81967,1.53007,0.59817,0.8344,0.68003,0.35571,1.43071,1.75922,1.45473,0.000580174,0.000580174,0.000580174
20,898.634,1.52182,1.80936,1.5653,0.59729,0.63706,0.69816,0.36894,1.36518,1.89524,1.38096,0.000533017,0.000533017,0.000533017
21,927.185,1.29925,1.77561,1.40203,0.94578,0.55245,0.85683,0.44147,1.25638,1.83819,1.34468,0.00048586,0.00048586,0.00048586
22,956.126,1.26214,1.69823,1.4062,0.8716,0.78343,0.87164,0.48719,1.26627,1.69368,1.38161,0.000438703,0.000438703,0.000438703
23,985.168,1.23187,1.55644,1.36598,0.75204,0.74665,0.87688,0.50046,1.26548,1.69004,1.37585,0.000391546,0.000391546,0.000391546
24,1452.16,1.19168,1.54214,1.36865,0.80518,0.65035,0.80695,0.49167,1.24895,1.80722,1.35473,0.000344389,0.000344389,0.000344389
25,1473.68,1.20753,1.48308,1.35042,0.60781,0.81548,0.80747,0.46845,1.27984,1.76933,1.3937,0.000297232,0.000297232,0.000297232
26,1497.78,1.17307,1.41549,1.30884,0.93696,0.67158,0.89983,0.47409,1.27353,1.64458,1.41599,0.000250075,0.000250075,0.000250075
27,1524.94,1.15676,1.39954,1.30809,0.98526,0.68786,0.90264,0.51117,1.24807,1.63299,1.3848,0.000202918,0.000202918,0.000202918
28,1553.12,1.15905,1.44941,1.3101,0.80075,0.82143,0.83185,0.48181,1.27463,1.63457,1.36546,0.000155761,0.000155761,0.000155761
29,1581.49,1.12013,1.38761,1.25897,0.80257,0.82143,0.83832,0.4746,1.24793,1.645,1.34929,0.000108604,0.000108604,0.000108604
30,1609.58,1.11601,1.4109,1.26589,0.76334,0.82143,0.8424,0.51301,1.23827,1.61481,1.35239,6.1447e-05,6.1447e-05,6.1447e-05
